EDITION,NAME,TOKEN,ATTRIBUTE:COLLECTION,ATTRIBUTE:TITLE,ATTRIBUTE:MINTAGE,ATTRIBUTE:POWER,ATTRIBUTE:YEAR,ATTRIBUTE:EDITION,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
131,Emidas Genesis Act 2,XEMIDAS-7966ea-014B,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
132,Emidas Genesis Act 2,XEMIDAS-7966ea-014C,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
133,Emidas Genesis Act 2,XEMIDAS-7966ea-014D,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
134,Emidas Genesis Act 2,XEMIDAS-7966ea-014E,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
135,Emidas Genesis Act 2,XEMIDAS-7966ea-014F,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
136,Emidas Genesis Act 2,XEMIDAS-7966ea-0150,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
137,Emidas Genesis Act 2,XEMIDAS-7966ea-0151,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
138,Emidas Genesis Act 2,XEMIDAS-7966ea-0152,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
139,Emidas Genesis Act 2,XEMIDAS-7966ea-0153,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
140,Emidas Genesis Act 2,XEMIDAS-7966ea-0154,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
141,Emidas Genesis Act 2,XEMIDAS-7966ea-0155,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
142,Emidas Genesis Act 2,XEMIDAS-7966ea-0156,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
143,Emidas Genesis Act 2,XEMIDAS-7966ea-0157,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
144,Emidas Genesis Act 2,XEMIDAS-7966ea-0158,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
145,Emidas Genesis Act 2,XEMIDAS-7966ea-0159,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
146,Emidas Genesis Act 2,XEMIDAS-7966ea-015A,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
147,Emidas Genesis Act 2,XEMIDAS-7966ea-015B,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
148,Emidas Genesis Act 2,XEMIDAS-7966ea-015C,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
149,Emidas Genesis Act 2,XEMIDAS-7966ea-015D,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
150,Emidas Genesis Act 2,XEMIDAS-7966ea-015E,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
151,Emidas Genesis Act 2,XEMIDAS-7966ea-015F,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
152,Emidas Genesis Act 2,XEMIDAS-7966ea-0160,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
153,Emidas Genesis Act 2,XEMIDAS-7966ea-0161,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
154,Emidas Genesis Act 2,XEMIDAS-7966ea-0162,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
155,Emidas Genesis Act 2,XEMIDAS-7966ea-0163,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
156,Emidas Genesis Act 2,XEMIDAS-7966ea-0164,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
157,Emidas Genesis Act 2,XEMIDAS-7966ea-0165,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
158,Emidas Genesis Act 2,XEMIDAS-7966ea-0166,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
159,Emidas Genesis Act 2,XEMIDAS-7966ea-0167,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
160,Emidas Genesis Act 2,XEMIDAS-7966ea-0168,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
161,Emidas Genesis Act 2,XEMIDAS-7966ea-0169,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
162,Emidas Genesis Act 2,XEMIDAS-7966ea-016A,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
163,Emidas Genesis Act 2,XEMIDAS-7966ea-016B,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
164,Emidas Genesis Act 2,XEMIDAS-7966ea-016C,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
165,Emidas Genesis Act 2,XEMIDAS-7966ea-016D,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
166,Emidas Genesis Act 2,XEMIDAS-7966ea-016E,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
167,Emidas Genesis Act 2,XEMIDAS-7966ea-016F,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
168,Emidas Genesis Act 2,XEMIDAS-7966ea-0170,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
169,Emidas Genesis Act 2,XEMIDAS-7966ea-0171,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
170,Emidas Genesis Act 2,XEMIDAS-7966ea-0172,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
171,Emidas Genesis Act 2,XEMIDAS-7966ea-0173,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
172,Emidas Genesis Act 2,XEMIDAS-7966ea-0174,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
173,Emidas Genesis Act 2,XEMIDAS-7966ea-0175,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
174,Emidas Genesis Act 2,XEMIDAS-7966ea-0176,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
175,Emidas Genesis Act 2,XEMIDAS-7966ea-0177,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
176,Emidas Genesis Act 2,XEMIDAS-7966ea-0178,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
177,Emidas Genesis Act 2,XEMIDAS-7966ea-0179,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
178,Emidas Genesis Act 2,XEMIDAS-7966ea-017A,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
179,Emidas Genesis Act 2,XEMIDAS-7966ea-017B,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
180,Emidas Genesis Act 2,XEMIDAS-7966ea-017C,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
181,Emidas Genesis Act 2,XEMIDAS-7966ea-017D,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
182,Emidas Genesis Act 2,XEMIDAS-7966ea-017E,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
183,Emidas Genesis Act 2,XEMIDAS-7966ea-017F,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
184,Emidas Genesis Act 2,XEMIDAS-7966ea-0180,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
185,Emidas Genesis Act 2,XEMIDAS-7966ea-0181,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
186,Emidas Genesis Act 2,XEMIDAS-7966ea-0182,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
187,Emidas Genesis Act 2,XEMIDAS-7966ea-0183,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
188,Emidas Genesis Act 2,XEMIDAS-7966ea-0184,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
189,Emidas Genesis Act 2,XEMIDAS-7966ea-0185,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
190,Emidas Genesis Act 2,XEMIDAS-7966ea-0186,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
191,Emidas Genesis Act 2,XEMIDAS-7966ea-0187,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
192,Emidas Genesis Act 2,XEMIDAS-7966ea-0188,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
193,Emidas Genesis Act 2,XEMIDAS-7966ea-0189,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
194,Emidas Genesis Act 2,XEMIDAS-7966ea-018A,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
195,Emidas Genesis Act 2,XEMIDAS-7966ea-018B,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
196,Emidas Genesis Act 2,XEMIDAS-7966ea-018C,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
197,Emidas Genesis Act 2,XEMIDAS-7966ea-018D,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
198,Emidas Genesis Act 2,XEMIDAS-7966ea-018E,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
199,Emidas Genesis Act 2,XEMIDAS-7966ea-018F,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
200,Emidas Genesis Act 2,XEMIDAS-7966ea-0190,Emidas Genesis,Fear. Uncertainty. Doubt.,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%202%20GR%20Final%20NFT.mp4,
1,Emidas Genesis Act 3,XEMIDAS-7966ea-0191,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
2,Emidas Genesis Act 3,XEMIDAS-7966ea-0192,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
3,Emidas Genesis Act 3,XEMIDAS-7966ea-0193,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
4,Emidas Genesis Act 3,XEMIDAS-7966ea-0194,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
5,Emidas Genesis Act 3,XEMIDAS-7966ea-0195,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
6,Emidas Genesis Act 3,XEMIDAS-7966ea-0196,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
7,Emidas Genesis Act 3,XEMIDAS-7966ea-0197,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
8,Emidas Genesis Act 3,XEMIDAS-7966ea-0198,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
9,Emidas Genesis Act 3,XEMIDAS-7966ea-0199,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
10,Emidas Genesis Act 3,XEMIDAS-7966ea-019A,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
11,Emidas Genesis Act 3,XEMIDAS-7966ea-019B,Emidas Genesis,DeFi The Enemy. Enter The Flywheel.,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20ACT%203%201st%20EDITION%20FINAL%20NFT.mp4,
